track_id,track_name,popularity,duration,artist,liveness,danceability,energy,loudness,speechiness,acousticness,valence
1h6a1gcgHa4hg09xEmue3V,Storiezin,70,138387,Raí Saia Rodada|NATTAN,0.142,0.767,0.895,-2.608,0.0799,0.319,0.961
0in6Rc29qdyOkhKyYw4A84,Manda Áudio,71,162056,Di Propósito,0.0937,0.63,0.63,-7.674,0.0698,0.619,0.942
5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,87,174253,Doja Cat,0.347,0.855,0.488,-4.601,0.208,0.506,0.619
7Cf2Hsy3cPlA4e115tElXv,Liberdade Provisória - Ao Vivo,70,186379,Henrique & Juliano,0.948,0.679,0.659,-6.039,0.0497,0.674,0.698
1S3taf3Ml2hNxXeJEe6ZXG,Esperando Você,70,185424,João Gomes,0.1,0.648,0.867,-4.132,0.0375,0.156,0.936
1uA7fD01YlQr1Rm0oyNB4H,Pulei na Piscina - Ao Vivo,70,181846,Guilherme & Benuto,0.166,0.652,0.773,-5.203,0.128,0.449,0.527
3W2aK80vK0AA7EwZeiUcwH,Ei Tudo Bem,69,117692,MC Zaquin|Dj Wesley Gonzaga,0.403,0.807,0.533,-5.695,0.0344,0.691,0.681
4nEhc8lB3L2NhgF1ZiXKcE,É Amor,70,172560,João Gomes,0.276,0.665,0.908,-4.122,0.0354,0.287,0.831
73x4PDzlTdJkAa8GtjnUs0,Preta do Cabelo Cacheado,70,158531,Th CDM|Batidão Stronda,0.0565,0.848,0.502,-6.472,0.238,0.679,0.816
28kNbvupVtJ6cPmGvAT58O,Minha Vontade de Te Amar,70,154175,Zé Neto & Cristiano,0.114,0.599,0.686,-5.647,0.06,0.598,0.575
6e4ewdwc5OhGhmnDHyNraC,melhor sozinha :-)-:,70,226908,Luísa Sonza,0.101,0.605,0.595,-6.23,0.0374,0.362,0.308
0QglpM23kl9ldvVdoYNZwF,Mds,70,125142,Kawe|Mc Lele JP,0.121,0.885,0.561,-5.331,0.249,0.261,0.644
6HU7h9RYOaPRFeh0R3UeAr,deja vu,90,215506,Olivia Rodrigo,0.37,0.442,0.612,-7.222,0.112,0.584,0.178
0RMpa3qNoB6rlVyhRmwwVO,SexToU,70,175478,Rennan da Penha|Anitta,0.0933,0.8,0.784,-6.46,0.0488,0.227,0.628
4FOf88scN5qTRGXc55tGJ0,Assault (Rio),70,324016,Mc Poze do Rodo|Mainstreet|Orochi|Ajaxx|Bielzin|Azevedo|Shenlong,0.126,0.554,0.603,-6.904,0.121,0.522,0.399
6M3PsepEj5gyJoIi7Xvr7u,Take My Breath,82,220196,The Weeknd,0.101,0.747,0.739,-6.008,0.0487,0.0106,0.523
2plRom0urixt6BE8t7kOhQ,Girl From Rio,71,193343,Anitta,0.199,0.692,0.639,-6.717,0.0352,0.00727,0.733
4XcWXKMKp53c8OU3HHlxgL,Amor e Fé - Acústico,59,322736,Hungria Hip Hop,0.375,0.632,0.697,-7.086,0.0377,0.589,0.837
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),93,291175,Drake|Travis Scott,0.215,0.666,0.465,-8.545,0.26,0.0503,0.292
6sPBi0qLI6KM3yXX56NxsA,Meia Noite (Você tem meu Whatsapp),60,237900,Tarcísio do Acordeon,0.146,0.709,0.816,-4.787,0.0346,0.685,0.921
18hMI9dStypUFZtdiDFz6k,Localização da Sua Boca - Ao Vivo,46,168131,Pedro Ticks,0.67,0.679,0.767,-5.684,0.0745,0.687,0.831
